DATE,NASDAQCOM
04/01/1971,106.34
04/02/1971,106.86
04/05/1971,107.17
04/06/1971,107.56
04/07/1971,108.06
04/08/1971,108.38
04/09/1971,.
04/12/1971,108.87
04/13/1971,108.85
04/14/1971,109.08
04/15/1971,109.69
04/16/1971,109.96
04/19/1971,110.16
04/20/1971,109.53
04/21/1971,109.52
04/22/1971,109.99
04/23/1971,110.69
04/26/1971,111.13
04/27/1971,111.69
04/28/1971,112.37
04/29/1971,112.46
04/30/1971,112.3
05/03/1971,111.35
05/04/1971,111.77
05/05/1971,111.68
05/06/1971,111.06
05/07/1971,110.66
05/10/1971,110.15
05/11/1971,110.33
05/12/1971,110.37
05/13/1971,110.55
05/14/1971,110.74
05/17/1971,109.15
05/18/1971,108.4
05/19/1971,108.33
05/20/1971,108.72
05/21/1971,108.85
05/24/1971,108.42
05/25/1971,107.5
05/26/1971,107.53
05/27/1971,107.6
05/28/1971,108.25
05/31/1971,.
06/01/1971,108.87
06/02/1971,109.56
06/03/1971,110.22
06/04/1971,110.66
06/07/1971,110.76
06/08/1971,110.02
06/09/1971,109.79
06/10/1971,110.06
06/11/1971,110.2
06/14/1971,109.57
06/15/1971,109.36
06/16/1971,109.44
06/17/1971,109.44
06/18/1971,108.16
06/21/1971,106.5
06/22/1971,105.49
06/23/1971,105.99
06/24/1971,106.37
06/25/1971,106.56
06/28/1971,106.45
06/29/1971,107.22
06/30/1971,107.8
07/01/1971,108.47
07/02/1971,108.77
07/05/1971,.
07/06/1971,109.23
07/07/1971,110.01
07/08/1971,110.42
07/09/1971,110.91
07/12/1971,111.24
07/13/1971,110.76
07/14/1971,110.34
07/15/1971,110.72
07/16/1971,109.98
07/19/1971,109.37
07/20/1971,109.79
07/21/1971,109.74
07/22/1971,109.54
07/23/1971,109.63
07/26/1971,109.35
07/27/1971,108.57
07/28/1971,107.45
07/29/1971,105.81
07/30/1971,105.27
08/02/1971,105.59
08/03/1971,104.41
08/04/1971,103.26
08/05/1971,103.11
08/06/1971,103.78
08/09/1971,103.18
08/10/1971,103.04
08/11/1971,104.08
08/12/1971,105.21
08/13/1971,105.44
08/16/1971,107.86
08/17/1971,108.93
08/18/1971,108.39
08/19/1971,108.01
08/20/1971,107.89
08/23/1971,108.26
08/24/1971,108.6
08/25/1971,108.85
08/26/1971,108.97
08/27/1971,109.3
08/30/1971,108.71
08/31/1971,108.42
09/01/1971,108.65
09/02/1971,108.96
09/03/1971,109.98
09/06/1971,.
09/07/1971,110.53
09/08/1971,110.58
09/09/1971,110.55
09/10/1971,110.42
09/13/1971,110.22
09/14/1971,109.77
09/15/1971,109.79
09/16/1971,109.78
09/17/1971,110.1
09/20/1971,109.99
09/21/1971,109.82
09/22/1971,108.99
09/23/1971,108.8
09/24/1971,108.88
09/27/1971,108.18
09/28/1971,108.38
09/29/1971,108.6
09/30/1971,109.03
10/01/1971,109.58
10/04/1971,109.96
10/05/1971,109.99
10/06/1971,110.68
10/07/1971,110.98
10/08/1971,110.74
10/11/1971,110.71
10/12/1971,110.91
10/13/1971,110.69
10/14/1971,109.87
10/15/1971,109.6
10/18/1971,109.06
10/19/1971,107.99
10/20/1971,106.58
10/21/1971,106.61
10/22/1971,106.8
10/25/1971,106.29
10/26/1971,105.69
10/27/1971,104.28
10/28/1971,104.5
10/29/1971,105.1
11/01/1971,103.69
11/02/1971,103.54
11/03/1971,105.01
11/04/1971,105.56
11/05/1971,105.46
11/08/1971,105.43
11/09/1971,105.72
11/10/1971,104.86
11/11/1971,103.74
11/12/1971,103.91
11/15/1971,103.44
11/16/1971,103.71
11/17/1971,103.64
11/18/1971,103.44
11/19/1971,102.95
11/22/1971,101.79
11/23/1971,100.31
11/24/1971,100.4
11/25/1971,.
11/26/1971,101.64
11/29/1971,103.08
11/30/1971,103.97
12/01/1971,105.06
12/02/1971,106.15
12/03/1971,107.26
12/06/1971,106.92
12/07/1971,107.26
12/08/1971,107.71
12/09/1971,107.97
12/10/1971,108.81
12/13/1971,109.16
12/14/1971,109.07
12/15/1971,109.45
12/16/1971,110.01
12/17/1971,110.52
12/20/1971,111.5
12/21/1971,111.73
12/22/1971,111.97
12/23/1971,111.94
12/24/1971,.
12/27/1971,111.7
12/28/1971,111.93
12/29/1971,112.57
12/30/1971,112.97
12/31/1971,114.12
01/01/1972,113.65
01/04/1972,113.93
01/05/1972,114.83
01/06/1972,115.72
01/07/1972,116.05
01/10/1972,116.1
01/11/1972,116.64
01/12/1972,116.9
01/13/1972,116.42
01/14/1972,116.74
01/17/1972,116.93
01/18/1972,117.66
01/19/1972,117.45
01/20/1972,117.32
01/21/1972,117.21
01/24/1972,116.49
01/25/1972,116.3
01/26/1972,116.39
01/27/1972,117.37
01/28/1972,118.44
01/31/1972,118.87
02/01/1972,119.58
02/02/1972,120.47
02/03/1972,120.66
02/04/1972,121.24
02/07/1972,121.14
02/08/1972,121.35
02/09/1972,122.16
02/10/1972,122.71
02/11/1972,122.86
02/14/1972,122.26
02/15/1972,122.61
02/16/1972,123.35
02/17/1972,123.44
02/18/1972,123.4
02/21/1972,.
02/22/1972,123.3
02/23/1972,123.61
02/24/1972,124
02/25/1972,124.83
02/28/1972,124.94
02/29/1972,125.38
03/01/1972,126.29
03/02/1972,126.58
03/03/1972,127.19
03/06/1972,127.88
03/07/1972,127.83
03/08/1972,128.4
03/09/1972,128.85
03/10/1972,128.55
03/13/1972,127.34
03/14/1972,127.73
03/15/1972,128.14
03/16/1972,127.77
03/17/1972,128.01
03/20/1972,127.53
03/21/1972,125.73
03/22/1972,126.36
03/23/1972,127.38
03/24/1972,127.55
03/27/1972,127.56
03/28/1972,127.72
03/29/1972,127.53
03/30/1972,128.14
03/31/1972,.
04/01/1972,128.06
04/04/1972,128.78
04/05/1972,130
04/06/1972,130.92
04/07/1972,131.8
04/10/1972,131.76
04/11/1972,132.47
04/12/1972,133.17
04/13/1972,133.06
04/14/1972,133.88
04/17/1972,133.74
04/18/1972,134.1
04/19/1972,132.68
04/20/1972,132.86
04/21/1972,133.01
04/24/1972,131.9
04/25/1972,130.84
04/26/1972,130.92
04/27/1972,131.01
04/28/1972,131.33
05/01/1972,130.16
05/02/1972,129.34
05/03/1972,128.77
05/04/1972,128.92
05/05/1972,129.43
05/08/1972,128.62
05/09/1972,125.78
