,DATE,CPI,DEBT,FEDFUNDS,GDP,MORTGAGE30US,NASDAQ,S&P500,UNRATE
0,4/1/1971,0.49772333,397305.0,4.566666667,5576.0,7.413076923,106.34,103.95,5.9
1,7/1/1971,0.164001888,412268.0,5.476666667,5662.0,7.658461538,108.47,95.58,6.033333333333333
2,10/1/1971,0.244698531,424131.0,4.75,5705.0,7.552857143,109.58,94.23,5.933333333333333
3,1/1/1972,0.242916252,427344.0,3.546666667,5884.0,7.349230769,113.65,103.94,5.766666666666667
4,4/1/1972,0.240964788,426435.0,4.3,6041.0,7.346923077,128.06,107.67,5.7
5,7/1/1972,0.318791677,433946.0,4.743333333,6140.0,7.406153846,130.59,107.39,5.566666666666666
6,10/1/1972,0.315771686,448473.0,5.146666667,6306.0,7.430769231,129.3,111.58,5.366666666666666
7,1/1/1973,0.623973467,458606.0,6.536666667,6522.0,7.446153846,133.73,116.03,4.933333333333333
8,4/1/1973,0.688095113,457317.0,7.816666667,6680.0,7.65,115.79,106.97,4.933333333333333
9,7/1/1973,0.751280969,460614.0,10.56,6757.0,8.456923077,100.15,108.22,4.8
10,10/1/1973,0.73214842,469073.0,9.996666667,6940.0,8.626153846,110.97,108.29,4.766666666666667
11,1/1/1974,1.141513652,473675.0,9.323333333,6996.0,8.462307692,92.19,96.57,5.133333333333333
12,4/1/1974,0.830485103,474235.0,11.25,7163.0,8.886923077,91.9,90.31,5.2
13,7/1/1974,1.076967143,481466.0,12.09,7285.0,9.606153846,75.39,79.31,5.633333333333333
14,10/1/1974,0.849206729,492664.0,9.346666667,7451.0,9.793076923,55.48,73.9,6.6
15,1/1/1975,0.511354385,509659.0,6.303333333,7512.0,9.168461538,59.82,76.98,8.266666666666666
16,4/1/1975,0.566164697,533188.0,5.42,7660.0,8.875384615,75.42,87.3,8.866666666666665
17,7/1/1975,0.618797006,553647.0,6.16,7905.0,8.983846154,86.33,88.75,8.466666666666665
18,10/1/1975,0.546570551,576649.0,5.413333333,8125.0,9.160769231,73.8,89.04,8.3
19,1/1/1976,0.239701293,600490.0,4.826666667,8377.0,8.873076923,77.62,100.86,7.733333333333332
20,4/1/1976,0.533922561,620432.0,5.196666667,8506.0,8.776923077,90.44,101.64,7.5666666666666655
21,7/1/1976,0.467331705,634701.0,5.283333333,8641.0,8.967692308,90.28,103.44,7.733333333333332
22,10/1/1976,0.346124164,653543.0,4.873333333,8836.0,8.847142857,90.44,102.9,7.766666666666666
23,1/1/1977,0.739307965,669207.0,4.66,9063.0,8.693333333,97.69,102.03,7.5
24,4/1/1977,0.667895351,674425.0,5.156666667,9347.0,8.807692308,94.54,98.44,7.133333333333333
25,7/1/1977,0.382966725,698840.0,5.82,9604.0,8.925,99.9,98.85,6.9
26,10/1/1977,0.378615888,718943.0,6.513333333,9784.0,8.936923077,101.16,92.34,6.666666666666666
27,1/1/1978,0.693011648,737951.0,6.756666667,9935.0,9.126923077,105.05,89.25,6.333333333333333
28,4/1/1978,0.937627329,749024.0,7.283333333,10490.0,9.557692308,105.89,96.83,6.0
29,7/1/1978,0.660355976,771544.0,8.1,10743.0,9.76,120.15,100.68,6.033333333333333
30,10/1/1978,0.598151129,789207.0,9.583333333,11078.0,10.12230769,133.3,93.15,5.9
31,1/1/1979,1.0235302,796792.0,10.07333333,11272.0,10.40923077,117.98,99.93,5.866666666666666
32,4/1/1979,1.179933486,804913.0,10.18,11530.0,10.76384615,131.36,101.76,5.7
33,7/1/1979,1.049367957,826519.0,10.94666667,11834.0,11.15692308,137.03,103.81,5.866666666666666
34,10/1/1979,0.929719684,845116.0,13.57666667,12046.0,12.48461538,149.59,101.82,5.966666666666667
35,1/1/1980,1.456317786,863451.0,15.04666667,12303.0,13.68,151.14,114.16,6.3
36,4/1/1980,1.070498108,877614.0,12.68666667,12302.0,14.41923077,133.14,106.29,7.333333333333333
37,7/1/1980,0.521950013,907701.0,9.836666667,12525.0,12.64307692,158.17,121.67,7.666666666666665
